experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8094,0.3401,0.0227,0.8094,0.9773,0.6599,2.4467
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.8094,0.3403,0.0227,0.8094,0.9773,0.6597,2.4464
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5_both_frozen,0.8094,0.3404,0.0227,0.8094,0.9773,0.6596,2.4464
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8089,0.34,0.0226,0.8089,0.9774,0.66,2.4462
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8097,0.341,0.0226,0.8097,0.9774,0.659,2.4461
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_frozen_clip,0.809,0.3404,0.0226,0.809,0.9774,0.6596,2.446
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs5_both_frozen,0.8098,0.3411,0.0227,0.8098,0.9773,0.6589,2.446
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8089,0.3403,0.0226,0.8089,0.9774,0.6597,2.446
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs5_both_frozen,0.8098,0.3412,0.0227,0.8098,0.9773,0.6588,2.4459
exp_roberta_base_lr1e-05_drop0.3_epochs5_both_frozen,0.8098,0.3413,0.0226,0.8098,0.9774,0.6587,2.4459
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_frozen_clip,0.809,0.3407,0.0226,0.809,0.9774,0.6593,2.4457
exp_roberta_base_lr1e-05_drop0.5_epochs5_both_frozen,0.81,0.3416,0.0226,0.81,0.9774,0.6584,2.4457
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8105,0.342,0.0228,0.8105,0.9772,0.658,2.4457
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_frozen_roberta,0.8088,0.3409,0.0226,0.8088,0.9774,0.6591,2.4454
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs5_both_frozen,0.8095,0.3418,0.0227,0.8095,0.9773,0.6582,2.445
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs5_both_frozen,0.809,0.3414,0.0227,0.809,0.9773,0.6586,2.4449
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs5_both_frozen,0.8088,0.3412,0.0227,0.8088,0.9773,0.6588,2.4449
exp_roberta_large_lr5e-06_drop0.5_epochs2_frozen_clip,0.8079,0.3405,0.0226,0.8079,0.9774,0.6595,2.4448
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs5_frozen_roberta,0.8094,0.3419,0.0227,0.8094,0.9773,0.6581,2.4447
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs2_both_frozen,0.8092,0.3418,0.0227,0.8092,0.9773,0.6582,2.4447
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs2_frozen_clip,0.8075,0.3403,0.0226,0.8075,0.9774,0.6597,2.4446
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2_both_frozen,0.8103,0.3429,0.0228,0.8103,0.9772,0.6571,2.4446
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5_both_frozen,0.8088,0.3416,0.0227,0.8088,0.9773,0.6584,2.4445
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs5_both_frozen,0.8095,0.3423,0.0227,0.8095,0.9773,0.6577,2.4445
exp_roberta_base_lr5e-06_drop0.3_epochs2,0.8096,0.3424,0.0227,0.8096,0.9773,0.6576,2.4445
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5_both_frozen,0.8092,0.3422,0.0227,0.8092,0.9773,0.6578,2.4443
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs2_frozen_clip,0.8076,0.3407,0.0226,0.8076,0.9774,0.6593,2.4443
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_frozen_clip,0.8078,0.341,0.0227,0.8078,0.9773,0.659,2.4442
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8075,0.341,0.0226,0.8075,0.9774,0.659,2.4439
exp_roberta_large_lr1e-05_drop0.5_epochs2,0.8084,0.3418,0.0227,0.8084,0.9773,0.6582,2.4438
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2_frozen_roberta,0.8082,0.3417,0.0227,0.8082,0.9773,0.6583,2.4438
exp_roberta_large_lr5e-06_drop0.5_epochs2,0.8072,0.3408,0.0227,0.8072,0.9773,0.6592,2.4437
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_frozen_clip,0.8084,0.3421,0.0227,0.8084,0.9773,0.6579,2.4436
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs2_both_frozen,0.809,0.3428,0.0227,0.809,0.9773,0.6572,2.4434
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2,0.8077,0.3417,0.0228,0.8077,0.9772,0.6583,2.4433
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_frozen_roberta,0.8077,0.3417,0.0227,0.8077,0.9773,0.6583,2.4432
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_both_frozen,0.809,0.343,0.0229,0.809,0.9771,0.657,2.4432
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_frozen_roberta,0.8098,0.344,0.0229,0.8098,0.9771,0.656,2.4429
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2_both_frozen,0.8101,0.3443,0.0229,0.8101,0.9771,0.6557,2.4428
exp_roberta_large_lr5e-06_drop0.3_epochs5_both_frozen,0.809,0.3434,0.0228,0.809,0.9772,0.6566,2.4428
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs5_frozen_roberta,0.8086,0.343,0.0228,0.8086,0.9772,0.657,2.4428
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs5_both_frozen,0.8086,0.3431,0.0228,0.8086,0.9772,0.6569,2.4426
exp_roberta_large_lr5e-06_drop0.5_epochs5_both_frozen,0.8089,0.3437,0.0229,0.8089,0.9771,0.6563,2.4423
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_both_frozen,0.8078,0.3427,0.0228,0.8078,0.9772,0.6573,2.4422
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_frozen_clip,0.81,0.345,0.0229,0.81,0.9771,0.655,2.4422
exp_roberta_large_lr5e-06_drop0.5_epochs2_frozen_roberta,0.807,0.3422,0.0227,0.807,0.9773,0.6578,2.4421
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs5_both_frozen,0.8078,0.343,0.0228,0.8078,0.9772,0.657,2.442
exp_roberta_large_lr1e-05_drop0.3_epochs2_both_frozen,0.8084,0.3436,0.0228,0.8084,0.9772,0.6564,2.4419
exp_roberta_base_lr5e-06_drop0.3_epochs5_both_frozen,0.8086,0.3439,0.0228,0.8086,0.9772,0.6561,2.4419
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_frozen_roberta,0.8075,0.3433,0.0228,0.8075,0.9772,0.6567,2.4414
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs5_both_frozen,0.8078,0.3436,0.0229,0.8078,0.9771,0.6564,2.4413
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs2,0.8067,0.3428,0.0227,0.8067,0.9773,0.6572,2.4412
exp_roberta_base_lr1e-05_drop0.3_epochs2_frozen_clip,0.8081,0.3441,0.0228,0.8081,0.9772,0.6559,2.4411
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_frozen_roberta,0.8072,0.3432,0.0229,0.8072,0.9771,0.6568,2.4411
exp_roberta_base_lr5e-06_drop0.5_epochs2_frozen_clip,0.8074,0.3435,0.0228,0.8074,0.9772,0.6565,2.4411
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2,0.8069,0.3432,0.0229,0.8069,0.9771,0.6568,2.4408
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_clip,0.807,0.3434,0.0228,0.807,0.9772,0.6566,2.4408
exp_roberta_large_lr1e-05_drop0.5_epochs2_both_frozen,0.808,0.3445,0.0229,0.808,0.9771,0.6555,2.4407
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_frozen_roberta,0.8064,0.3429,0.0227,0.8064,0.9773,0.6571,2.4407
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_both_frozen,0.8081,0.3445,0.0229,0.8081,0.9771,0.6555,2.4407
exp_roberta_base_lr5e-06_drop0.5_epochs5_both_frozen,0.8083,0.3448,0.0229,0.8083,0.9771,0.6552,2.4406
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs2,0.8061,0.3427,0.0228,0.8061,0.9772,0.6573,2.4406
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2,0.8062,0.3427,0.0229,0.8062,0.9771,0.6573,2.4406
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_clip,0.8075,0.3441,0.0229,0.8075,0.9771,0.6559,2.4405
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_frozen_roberta,0.8064,0.3431,0.0229,0.8064,0.9771,0.6569,2.4404
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.8072,0.3447,0.0228,0.8072,0.9772,0.6553,2.4397
exp_roberta_base_lr5e-06_drop0.5_epochs2_frozen_roberta,0.8077,0.3452,0.0229,0.8077,0.9771,0.6548,2.4396
exp_roberta_base_lr1e-05_drop0.5_epochs2_frozen_clip,0.8073,0.345,0.0229,0.8073,0.9771,0.655,2.4394
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8077,0.3454,0.0229,0.8077,0.9771,0.6546,2.4394
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2_both_frozen,0.8069,0.3446,0.0229,0.8069,0.9771,0.6554,2.4393
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_both_frozen,0.8064,0.3443,0.0229,0.8064,0.9771,0.6557,2.4391
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs5_both_frozen,0.807,0.3451,0.0229,0.807,0.9771,0.6549,2.439
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_both_frozen,0.8073,0.3454,0.023,0.8073,0.977,0.6546,2.4389
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.8056,0.344,0.0228,0.8056,0.9772,0.656,2.4387
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs2,0.8048,0.3432,0.0229,0.8048,0.9771,0.6568,2.4387
exp_roberta_large_lr5e-06_drop0.3_epochs2_frozen_clip,0.8054,0.3439,0.0229,0.8054,0.9771,0.6561,2.4386
exp_roberta_base_lr1e-05_drop0.3_epochs2_both_frozen,0.8072,0.3456,0.0229,0.8072,0.9771,0.6544,2.4386
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs2_frozen_clip,0.805,0.3436,0.0229,0.805,0.9771,0.6564,2.4385
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs2_both_frozen,0.8074,0.3462,0.0229,0.8074,0.9771,0.6538,2.4383
exp_roberta_base_lr5e-06_drop0.3_epochs2_frozen_clip,0.8063,0.3452,0.023,0.8063,0.977,0.6548,2.4382
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs5_both_frozen,0.8045,0.3436,0.0228,0.8045,0.9772,0.6564,2.4381
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_both_frozen,0.8072,0.3463,0.023,0.8072,0.977,0.6537,2.438
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_frozen_roberta,0.8071,0.3463,0.023,0.8071,0.977,0.6537,2.4378
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5_both_frozen,0.8063,0.3457,0.023,0.8063,0.977,0.6543,2.4376
exp_roberta_base_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8073,0.3467,0.0231,0.8073,0.9769,0.6533,2.4375
exp_roberta_large_lr1e-05_drop0.5_epochs2_frozen_clip,0.8059,0.3454,0.023,0.8059,0.977,0.6546,2.4375
exp_roberta_base_lr1e-05_drop0.5_epochs2_both_frozen,0.807,0.3466,0.023,0.807,0.977,0.6534,2.4374
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2,0.8079,0.3474,0.0231,0.8079,0.9769,0.6526,2.4374
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8053,0.3449,0.023,0.8053,0.977,0.6551,2.4373
exp_roberta_large_lr5e-06_drop0.3_epochs2,0.8054,0.3451,0.023,0.8054,0.977,0.6549,2.4373
exp_roberta_base_lr1e-05_drop0.5_epochs2,0.8073,0.347,0.0231,0.8073,0.9769,0.653,2.4373
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs2_both_frozen,0.8064,0.3463,0.023,0.8064,0.977,0.6537,2.4371
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2_frozen_roberta,0.8085,0.3482,0.0232,0.8085,0.9768,0.6518,2.437
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_both_frozen,0.8087,0.3486,0.0231,0.8087,0.9769,0.6514,2.437
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2,0.806,0.3461,0.023,0.806,0.977,0.6539,2.4368
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2,0.8055,0.3458,0.0231,0.8055,0.9769,0.6542,2.4367
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2,0.8061,0.3465,0.0231,0.8061,0.9769,0.6535,2.4365
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.8056,0.3461,0.023,0.8056,0.977,0.6539,2.4365
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8043,0.3451,0.0229,0.8043,0.9771,0.6549,2.4362
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_both_frozen,0.8061,0.3469,0.0231,0.8061,0.9769,0.6531,2.4362
exp_roberta_large_lr5e-06_drop0.3_epochs2_both_frozen,0.8067,0.3475,0.0231,0.8067,0.9769,0.6525,2.4362
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2,0.8064,0.3473,0.0231,0.8064,0.9769,0.6527,2.436
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2_frozen_roberta,0.8054,0.347,0.023,0.8054,0.977,0.653,2.4355
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2_both_frozen,0.8055,0.3471,0.0231,0.8055,0.9769,0.6529,2.4354
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_roberta,0.8038,0.3455,0.023,0.8038,0.977,0.6545,2.4353
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2_both_frozen,0.8073,0.349,0.0231,0.8073,0.9769,0.651,2.4352
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8058,0.3477,0.0232,0.8058,0.9768,0.6523,2.4349
exp_roberta_base_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8058,0.3481,0.0232,0.8058,0.9768,0.6519,2.4345
exp_roberta_large_lr5e-06_drop0.5_epochs2_both_frozen,0.8064,0.3488,0.0231,0.8064,0.9769,0.6512,2.4344
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_clip,0.804,0.3466,0.0231,0.804,0.9769,0.6534,2.4343
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2_both_frozen,0.8079,0.3505,0.0231,0.8079,0.9769,0.6495,2.4342
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2,0.8064,0.3495,0.0233,0.8064,0.9767,0.6505,2.4336
exp_adamw_roberta_large_lr1e-05_drop0.3_bigger_mlp_epochs2,0.8052,0.3484,0.0232,0.8052,0.9768,0.6516,2.4335
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2_both_frozen,0.8085,0.3517,0.0233,0.8085,0.9767,0.6483,2.4335
exp_roberta_large_lr1e-05_drop0.5_epochs2_frozen_roberta,0.8032,0.3472,0.0232,0.8032,0.9768,0.6528,2.4328
exp_roberta_large_lr1e-05_drop0.5_epochs5_frozen_roberta,0.8053,0.3495,0.0233,0.8053,0.9767,0.6505,2.4326
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_both_frozen,0.8036,0.3479,0.0232,0.8036,0.9768,0.6521,2.4325
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2,0.8051,0.3494,0.0233,0.8051,0.9767,0.6506,2.4324
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_both_frozen,0.8057,0.3501,0.0232,0.8057,0.9768,0.6499,2.4324
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2,0.8038,0.3483,0.0232,0.8038,0.9768,0.6517,2.4323
exp_roberta_base_lr1e-05_drop0.3_epochs2,0.8052,0.3499,0.0232,0.8052,0.9768,0.6501,2.4321
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs2_both_frozen,0.8059,0.3506,0.0233,0.8059,0.9767,0.6494,2.432
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_both_frozen,0.8039,0.3488,0.0232,0.8039,0.9768,0.6512,2.432
exp_adamw_roberta_large_lr1e-05_drop0.5_epochs2_frozen_roberta,0.803,0.3479,0.0231,0.803,0.9769,0.6521,2.4319
exp_roberta_base_lr5e-06_drop0.3_epochs2_both_frozen,0.8057,0.3507,0.0232,0.8057,0.9768,0.6493,2.4318
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8024,0.3479,0.0231,0.8024,0.9769,0.6521,2.4313
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_roberta,0.8049,0.3508,0.0235,0.8049,0.9765,0.6492,2.4306
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8019,0.3482,0.0232,0.8019,0.9768,0.6518,2.4305
exp_roberta_large_lr1e-05_drop0.3_epochs2,0.8017,0.3486,0.0232,0.8017,0.9768,0.6514,2.4299
exp_roberta_base_lr1e-05_drop0.5_epochs2_frozen_roberta,0.8041,0.3509,0.0233,0.8041,0.9767,0.6491,2.4299
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_frozen_roberta,0.8027,0.3496,0.0232,0.8027,0.9768,0.6504,2.4299
exp_roberta_base_lr5e-06_drop0.5_epochs2_both_frozen,0.8055,0.3525,0.0233,0.8055,0.9767,0.6475,2.4297
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_both_frozen,0.8035,0.3506,0.0232,0.8035,0.9768,0.6494,2.4297
exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_roberta,0.8006,0.3477,0.0233,0.8006,0.9767,0.6523,2.4296
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_frozen_roberta,0.8013,0.3503,0.0233,0.8013,0.9767,0.6497,2.4278
exp_roberta_large_lr1e-05_drop0.3_epochs2_frozen_clip,0.8003,0.3493,0.0233,0.8003,0.9767,0.6507,2.4277
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_both_frozen,0.8048,0.3541,0.0233,0.8048,0.9767,0.6459,2.4273
exp_roberta_large_lr5e-06_drop0.3_epochs2_frozen_roberta,0.8012,0.3511,0.0234,0.8012,0.9766,0.6489,2.4267
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2_frozen_clip,0.8003,0.3505,0.0234,0.8003,0.9766,0.6495,2.4264
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs2_both_frozen,0.8053,0.356,0.0236,0.8053,0.9764,0.644,2.4257
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs2_both_frozen,0.8051,0.3561,0.0236,0.8051,0.9764,0.6439,2.4254
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs5_frozen_roberta,0.8031,0.3558,0.0235,0.8031,0.9765,0.6442,2.4238
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_frozen_clip,0.7972,0.3541,0.0237,0.7972,0.9763,0.6459,2.4193
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_frozen_clip,0.7964,0.3566,0.0238,0.7964,0.9762,0.6434,2.416
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_frozen_clip,0.796,0.3575,0.0239,0.796,0.9761,0.6425,2.4147
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs5_frozen_roberta,0.8008,0.363,0.024,0.8008,0.976,0.637,2.4137
exp_adamw_roberta_large_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.7999,0.3626,0.0242,0.7999,0.9758,0.6374,2.4131
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.7968,0.3613,0.0242,0.7968,0.9758,0.6387,2.4112
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_clip,0.798,0.3657,0.0244,0.798,0.9756,0.6343,2.4079
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_roberta,0.799,0.3673,0.0243,0.799,0.9757,0.6327,2.4074
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs5_frozen_roberta,0.7974,0.3665,0.0244,0.7974,0.9756,0.6335,2.4065
exp_roberta_large_lr5e-06_drop0.5_epochs5_frozen_roberta,0.7969,0.3665,0.0243,0.7969,0.9757,0.6335,2.4062
exp_roberta_base_lr1e-05_drop0.5_epochs5_frozen_roberta,0.7966,0.3674,0.0243,0.7966,0.9757,0.6326,2.4049
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs5_both_frozen,0.7959,0.3679,0.0245,0.7959,0.9755,0.6321,2.4035
exp_adamw_roberta_base_lr1e-05_drop0.3_epochs5_frozen_roberta,0.7932,0.3714,0.0247,0.7932,0.9753,0.6286,2.3971
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs5_frozen_clip,0.794,0.3721,0.0249,0.794,0.9751,0.6279,2.3971
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_frozen_clip,0.7945,0.373,0.0248,0.7945,0.9752,0.627,2.3967
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs5_both_frozen,0.7943,0.3734,0.0248,0.7943,0.9752,0.6266,2.3961
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_frozen_roberta,0.7935,0.3754,0.0249,0.7935,0.9751,0.6246,2.3931
exp_roberta_base_lr5e-06_drop0.5_epochs5_frozen_clip,0.7918,0.3758,0.0251,0.7918,0.9749,0.6242,2.3908
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs5_frozen_clip,0.7918,0.3764,0.0251,0.7918,0.9749,0.6236,2.3903
exp_adamw_roberta_base_lr5e-06_drop0.5_bigger_mlp_epochs5,0.7924,0.3777,0.0251,0.7924,0.9749,0.6223,2.3897
